 Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Measured,Mixed,Mixed,Mixed,Mixed,Mixed
Frame,Time, X, Y, Z, Type, X, Y, Z, Type, X, Y, Z, Type
132,1.31,0,0,0,,-996.449,476.321,-75.727,Measured,-1013.407,519.752,-40.435,Measured
133,1.32,0,0,0,,-992.569,473.021,-70.898,Measured,-1013.695,520.267,-41.184,Measured
134,1.33,0,0,0,,-994.736,475.901,-79.199,Measured,-1013.455,519.776,-40.568,Measured
135,1.34,0,0,0,,-996.304,475.323,-78.419,Measured,-1013.438,519.794,-40.466,Measured
136,1.35,0,0,0,,-996.583,476.34,-75.958,Measured,-1013.755,520.232,-40.703,Measured
137,1.36,0,0,0,,-996.33,475.446,-78.367,Measured,-1013.477,519.883,-40.515,Measured
138,1.37,0,0,0,,-996.338,475.329,-78.416,Measured,-1013.726,520.236,-40.807,Measured
139,1.38,0,0,0,,-997.843,479.046,-72.541,Measured,-1013.63,520.226,-40.965,Measured
140,1.39,0,0,0,,-1000.358,469.756,-82.207,Measured,-1013.682,520.406,-41.098,Measured
141,1.4,0,0,0,,-996.481,475.279,-78.47,Measured,-1013.483,519.856,-40.464,Measured
142,1.41,0,0,0,,-996.026,476.714,-73.535,Measured,-1013.715,520.344,-41.137,Measured
143,1.42,0,0,0,,-995.914,476.807,-73.159,Measured,-1013.634,520.341,-40.977,Measured
144,1.43,0,0,0,,-996.007,476.898,-73.268,Measured,-1013.73,520.413,-41.171,Measured
145,1.44,0,0,0,,-997.921,473.798,-80.14,Measured,-1013.747,520.506,-41.183,Measured
146,1.45,0,0,0,,-1001.122,478.421,-84.022,Measured,-1013.826,520.46,-41.068,Measured
147,1.46,0,0,0,,-998.141,473.883,-80.407,Measured,-1013.681,520.505,-41.05,Measured
148,1.47,0,0,0,,-996.531,475.463,-78.432,Measured,-1013.69,520.571,-41.014,Measured
149,1.48,0,0,0,,-995.808,475.676,-75.794,Measured,-1013.887,520.496,-40.615,Measured
150,1.49,0,0,0,,-995.717,475.702,-75.56,Measured,-1013.728,520.623,-41.028,Measured
151,1.5,0,0,0,,-998.179,480.287,-71.27,Measured,-1013.631,520.261,-40.752,Measured
152,1.51,0,0,0,,-998.444,487.046,-63.715,Measured,-1013.651,520.307,-40.76,Measured
153,1.52,0,0,0,,-1000.018,487.33,-63.395,Measured,-1013.847,520.657,-41.222,Measured
154,1.53,0,0,0,,-1002.759,502.29,-80.547,Measured,-1013.85,520.678,-41.258,Measured
155,1.54,0,0,0,,-1008.039,511.569,-89.417,Measured,-1013.851,520.659,-41.321,Measured
156,1.55,0,0,0,,-1015.363,539.632,-92.265,Measured,-1013.909,520.8,-41.447,Measured
157,1.56,0,0,0,,-1020.746,565.471,-95.519,Gap-filled,-1013.863,520.591,-41.307,Measured
158,1.57,0,0,0,,-1024.556,589.937,-99.191,Gap-filled,-1014.006,520.583,-41.475,Measured
159,1.58,0,0,0,,-1027.159,613.881,-103.293,Gap-filled,-1013.994,520.744,-41.442,Measured
160,1.59,0,0,0,,-1028.922,638.152,-107.837,Gap-filled,-1013.878,520.936,-41.451,Measured
161,1.6,0,0,0,,-1030.214,663.601,-112.835,Measured,-1013.653,520.286,-40.754,Measured
162,1.61,0,0,0,,-1029.61,697.437,-118.645,Gap-filled,-1013.957,520.605,-41.126,Measured
163,1.62,0,0,0,,-1030.164,730.974,-124.762,Gap-filled,-1013.898,520.601,-41.242,Measured
164,1.63,0,0,0,,-1034.928,755.527,-130.676,Measured,-1013.834,520.517,-41.081,Measured
165,1.64,0,0,0,,-1046.957,762.412,-135.88,Measured,-1013.442,519.861,-40.337,Measured
166,1.65,0,0,0,,-1076.809,773.01,-129.034,Measured,-1013.937,520.586,-41.261,Measured
167,1.66,0,0,0,,-1102.004,784.074,-127.135,Measured,-1013.701,520.065,-40.658,Measured
